Date,Buy,Sell,Hold,date2,volume,open,high,low,close,adjclose
2022-07-09,13.251188660363912,12.23449123414704,14.093389909413336,2022-07-10,7825211,132.160004,135.119995,132.160004,134.320007,133.145554
2022-07-10,16.12324228786091,10.768827258246095,18.65364064572826,2022-07-12,6583999,134.830002,135.059998,133.559998,134.720001,133.542053
2022-07-12,13.294708838497087,16.41818904771417,13.704849614396478,2022-07-11,1181036,135.009995,135.410004,134.110001,134.389999,133.21492
2022-07-14,15.379368196909276,15.481168433070996,15.44389948533813,2022-07-15,6445766,134.309998,135.020004,133.080002,133.580002,132.412018
2022-07-16,11.324466025387471,16.403436175916582,18.623075473774158,2022-07-17,5912003,136.470001,137.070007,132.449997,133.479996,132.312881
2022-07-18,14.315719886275547,14.943169737496039,17.24812048171984,2022-07-10,7647035,131.779999,133.559998,131.070007,131.460007,130.310562
2022-07-20,16.367162342337643,12.821036443540235,19.059006727936016,2022-07-21,5961900,132.039993,134.070007,131.830002,132.539993,131.381104
2022-07-22,12.630863195557279,14.532217289099295,14.619235724980411,2022-07-23,5932495,131.190002,131.490005,126.699997,127.849998,126.732117
2022-08-01,11.658934600524386,14.70172128397748,17.864500136069218,2022-08-02,5485254,129.199997,130.449997,127.970001,128.100006,126.979935
2022-08-03,14.730181882022888,13.347598829970265,16.928073015488494,2022-08-04,4793290,127.889999,129.75,127.129997,129.740005,128.605606
2022-08-05,16.21276795290954,13.589179295567146,14.975267294858812,2022-08-06,5990554,130.850006,131.259995,129.479996,130.210007,129.290726
2022-08-07,16.329149537178882,14.475522063519474,19.23548424924272,2022-08-08,6055370,129.410004,129.539993,126.809998,126.849998,125.954437
2022-08-09,12.185435665646123,18.196550480393864,18.94519019769945,2022-08-10,1901986,123.5,126.269997,122.769997,125.910004,125.02108
2022-08-10,13.324495802281975,15.596055281883906,15.894695727803468,2022-08-12,1961851,123.400002,124.639999,122.25,122.769997,121.903236
2022-08-12,11.36438569392062,15.609468706032382,18.462396370403972,2022-08-11,1561960,124.580002,126.150002,124.260002,124.970001,124.087708
2022-08-14,16.151281627199232,10.95518917608998,16.402116172482106,2022-08-15,1984989,126.25,127.889999,125.849998,127.449997,126.550209
2022-08-16,17.751773123532487,15.460203389738368,7.6625641303020995,2022-08-17,1880481,126.82,126.93,125.169998,126.269997,125.378532
2022-08-18,17.916732215292587,13.31407827003621,9.142041747263614,2022-08-10,2072403,126.559998,126.989998,124.779999,124.849998,123.968552
2022-08-20,16.276308316628302,18.561216552849416,19.731384311086902,2022-08-21,1922250,123.160004,124.919998,122.860001,124.690002,123.8097
2022-08-22,16.32914953,14.475522,17.751773,2022-08-23,2369703,125.230003,127.720001,125.099998,127.309998,126.411186

